#
 0,           exploit,30,  0.00,  0.06, * --------          |                   ,  0.00,  0.30, 0.63
 0,           exploit,35,  0.00,  0.06, * -----             |                   ,  0.00,  0.22, 0.81
 0,           exploit,40,  0.00,  0.00, *--------           |                   ,  0.00,  0.23, 0.99
 0,           exploit,45,  0.00,  0.00, *------             |                   ,  0.00,  0.23, 1.25
 0,         SimAnneal,45,  0.00,  0.06, * ---               |                   ,  0.00,  0.13, 2.12
 0,           exploit,50,  0.00,  0.00, *--------           |                   ,  0.00,  0.22, 1.35
 0,         SimAnneal,50,  0.00,  0.00, *-                  |                   ,  0.00,  0.13, 2.57
 0,           exploit,55,  0.00,  0.00, *                   |                   ,  0.00,  0.22, 1.40
 0,         SimAnneal,55,  0.00,  0.06, * ---               |                   ,  0.00,  0.14, 2.76
 0,           exploit,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.54
 0,         SimAnneal,60,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 3.39
#
 1,           exploit,25,  0.06,  0.22,   *      ---        |                   ,  0.00,  0.37, 0.54
 1,         SimAnneal,40,  0.06,  0.09,   *--               |                   ,  0.00,  0.30, 1.80
 1, llm_llama3-8b(8.0B),30,  0.06,  0.06,   *----             |                   ,  0.00,  0.19, 3490.80
 1,         SimAnneal,35,  0.09,  0.16, -- *     -          |                   ,  0.00,  0.36, 1.43
 1,            random,45,  0.09,  0.08, -- * -------        |                   ,  0.00,  0.31, 0.00
 1,            random,50,  0.09,  0.16, -- *                |                   ,  0.00,  0.29, 0.00
 1,            random,60,  0.09,  0.07, -- * ----           |                   ,  0.00,  0.23, 0.00
 1,                rrp,9,  0.13,  0.17, --   *   --         |                   ,  0.00,  0.41, 0.08
 1,         SimAnneal,30,  0.13,  0.08, --   *----          |                   ,  0.00,  0.31, 1.07
#
 2,            random,35,  0.13,  0.08, --   *---           |                   ,  0.00,  0.23, 0.00
 2, llm_phi3-mini(3.8B),25,  0.13,  0.22,      *   -          |                   ,  0.00,  0.24, 669.00
 2,         SimAnneal,20,  0.14,  0.09,   ---*   --         |                   ,  0.00,  0.29, 0.61
 2,            random,25,  0.14,  0.09,   ---*   ----       |                   ,  0.00,  0.36, 0.00
 2, llm_phi3-mini(3.8B),30,  0.14,  0.08,      *------        |                   ,  0.06,  0.29, 872.40
 2, llm_llama3-8b(8.0B),20,  0.14,  0.10, -----*   ---        |                   ,  0.00,  0.29, 1818.00
#
 3,            random,30,  0.19,  0.09,        * ---        |                   ,  0.13,  0.33, 0.00
 3,           explore,50,  0.19,  0.30,        *    ---     |                   ,  0.00,  0.38, 1.32
 3,            random,55,  0.19,  0.13,   -    * ---        |                   ,  0.00,  0.30, 0.00
 3, llm_phi3-mini(3.8B),20,  0.19,  0.09,    --  * -          |                   ,  0.09,  0.24, 377.40
 3,            random,20,  0.22,  0.14,   -      *-         |                   ,  0.00,  0.38, 0.00
 3,            random,40,  0.22,  0.08,   ---    *-         |                   ,  0.00,  0.28, 0.00
 3,           exploit,20,  0.22,  0.18, --       *-         |                   ,  0.00,  0.28, 0.40
 3,         SimAnneal,25,  0.22,  0.11,   -----  *  --      |                   ,  0.00,  0.49, 0.85
 3,           explore,45,  0.22,  0.19, --       *-----     |                   ,  0.00,  0.47, 1.16
 3,           explore,25,  0.23,  0.23, --       *  ---     |                   ,  0.00,  0.38, 0.54
 3,           explore,60,  0.23,  0.17, -----    *  ----    |                   ,  0.00,  0.42, 1.60
 3, llm_phi3-mini(3.8B),40,  0.23,  0.01,   -------*-         |                   ,  0.06,  0.28, 1104.60
 3,           explore,20,  0.24,  0.15, -------   *   ----- |                   ,  0.00,  0.54, 0.41
#
 4,           explore,40,  0.28,  0.25, --         *------  |                   ,  0.00,  0.57, 1.00
 4,           explore,55,  0.28,  0.06,    ------  *---     |                   ,  0.00,  0.41, 1.37
 4,           explore,30,  0.28,  0.08,   -------  *---     |                   ,  0.00,  0.42, 0.64
 4,           explore,35,  0.29,  0.17, -----       *----   |                   ,  0.00,  0.45, 0.84
#
 5,         baseline,206,  0.56,  0.23,             ------  |  *    -----       ,  0.00,  0.95, 0.00
